alg;inst;repl;dist; 
full;132;3;972.5;
full;133;3;1199.9;
full;134;3;1293.98;
full;135;3;924.73;
full;136;3;1260.62;
full;137;3;1340.77;
full;138;3;1631.47;
full;139;3;1991.1;
full;140;3;1969.59;
full;141;3;1877.9;
full;142;3;2113.3;
full;143;3;2078.73;
full;144;3;1896.26;
full;145;3;1109.79;
full;146;3;1250.93;
full;147;3;1519.45;
full;148;3;1415.24;
full;149;3;1518.09;
full;150;3;1423.12;
full;151;3;1511.22;
full;152;3;1610.04;
full;153;3;1890.42;
full;154;3;2377.16;
full;155;3;1418.41;
full;156;3;1478.84;
full;157;3;1692.33;
full;158;3;2019.72;
full;159;3;2108.42;
full;160;3;1313.11;
full;161;3;1403.59;
full;162;3;1641.01;
full;163;3;1917.32;
full;164;3;2008.04;
full;165;3;617.34;
full;166;3;698.55;
full;167;3;815.18;
full;168;3;890.73;
full;169;3;899.07;
full;170;3;766.46;
full;171;3;848.45;
full;172;3;998.18;
full;173;3;1033.74;
full;174;3;1405.24;
full;175;3;689.85;
full;176;3;811.85;
full;177;3;1008.78;
full;178;3;1092;
full;179;3;1310.36;
full;0;4;260.56;
full;1;4;222.92;
full;2;4;227.5;
full;3;4;253.94;
full;4;4;252.23;
full;5;4;224.47;
full;6;4;225.04;
full;7;4;220.99;
full;8;4;259.91;
full;9;4;279.31;
full;10;4;278.93;
full;11;4;259.27;
full;12;4;298.12;
full;13;4;318.45;
full;14;4;357.59;
full;15;4;280.36;
full;16;4;305.88;
full;17;4;281.49;
full;18;4;305.72;
full;19;4;332.78;
full;20;4;358.97;
full;21;4;371.91;
full;22;4;380.79;
full;23;4;344.99;
full;24;4;340.65;
full;25;4;397.62;
full;26;4;400.48;
full;27;4;350.04;
full;28;4;359.05;
full;29;4;375.94;
full;30;4;547.81;
full;31;4;555.95;
full;32;4;548.36;
full;33;4;624.97;
full;34;4;608.49;
full;35;4;609.43;
full;36;4;648.96;
full;37;4;662.03;
full;38;4;629.19;
full;39;4;660.92;
full;40;4;320.16;
full;41;4;366.37;
full;42;4;382.42;
full;43;4;377.26;
full;44;4;483.11;
full;45;4;477.54;
full;46;4;501.44;
full;47;4;439.43;
full;48;4;592.36;
full;49;4;617.52;
full;50;4;481.41;
full;51;4;553.34;
full;52;4;517.28;
full;53;4;554.89;
full;54;4;602.26;
full;55;4;390.87;
full;56;4;431.79;
full;57;4;405.36;
full;58;4;413.31;
full;59;4;430.22;
full;60;4;2281.07;
full;61;4;2243.28;
full;62;4;2446.71;
full;63;4;2732.25;
full;64;4;2997.59;
full;65;4;603.1;
full;66;4;696.09;
full;67;4;773.47;
full;68;4;825.99;
full;69;4;840.76;
full;70;4;856.29;
full;71;4;753.07;
full;72;4;741.47;
full;73;4;869.33;
full;74;4;921.44;
full;75;4;453.64;
full;76;4;446.68;
full;77;4;462.65;
full;78;4;542.88;
full;79;4;546.58;
full;80;4;411.37;
